medicines,Disease,symptoms
Doshavaishamyam,PRATYASHTHILA,"pain/excessive pain, stony hard round shaped gland, obstruction to flatus, obstruction to feces, obstruction in passage of urine, gurgling sound of the intestines/barborygmus, distention of abdomen"
Doshavaishamyam,PANGUH,paralysis of both lower limbs/thighs
Doshavaishamyam,MINMINAH,nasal twang
Doshavaishamyam,MANYASTAMBAH,torticollis/stiffness of neck
Doshavaishamyam,MUKATVAM,dumbness/aphasia
Doshavaishamyam,VATAKANTAKAM,pain in feet
Doshavaishamyam,VISVACI,loss of function of the upper extremities
Doshavaishamyam,KAMPAH/VEPATHUH,involuntary movements of the all parts of the body/shaking movement of whole body
Doshavaishamyam,SIRAGRAHAH,"blackish discoloration, dry, associated with pain"
Doshavaishamyam,HANUGRAHAH/HANUSRAMSA,"difficulty in chewing, difficilty in speaking, mouth remain open, painless, mouth remain closed/trismus"
Doshavaishamyam,PRANAVRUTAVYANAVATAH,"loss of ability of sense organs, loss of memory, loss of physical strength or weakness"
Doshavaishamyam,VYANAVRUTAPRANAVATAH,"excessive sweating, horripilation, skin diseases, numbness in the body parts"
Doshavaishamyam,PRANAVRUTASAMANAVATAH,"dullness/frigidity/inactiveness, stuttering/stammmering, dumbness/aphasia"
Doshavaishamyam,SAMANAVRUTA-APANAVATAH,"derangement of agni situated in grahaṇī, pain/disease in flanks, diseases of heart, colicky pain in epigastric region"
Doshavaishamyam,PRANAVRUTA-UDANAVATAH,"stiffness of head, cold, catarrh, obstruction/restriction to respiration, diseases of heart, dryness in mouth"
Doshavaishamyam,UDANAVRUTAPRANAVATAH,"loss of activities, loss of vitality/bodily strength, energy, power, loss of strength, loss of lustre/complexion, death"
Doshavaishamyam,UDANAVRUTA-APANAVATAH,"vomiting, breathlessness/difficult breathing"
Doshavaishamyam,APANAVRUTA-UDANAVATAH,"semiconsciousness or stupefaction, insufficient digestive power/capacity, diarrhoea"
Doshavaishamyam,VYANAVRUTA-APANAVATAH,"vomiting, abdominal distension, upword movement of vayu due to retention of stool and urine, palpable glandular enlargment in abdomen/abdominal lump, pain, sharp cutting pain in anus"
Doshavaishamyam,APANAVRUTA-VYANAVATAH,"excessive defecation, excessive micturition, excessive semen/ejaculation"
Doshavaishamyam,SAMANAVRUTA-VYANAVATAH,"syncope/attacks of swooning, drowsiness/lassitude, excess talking/irrelevant speech/incoherent speech, exhaustion or tirednes to body /inability to perform physical activities, diminution of agni (digestive power), diminution of vitality/body energy/power, loss of physical strength or weakness"
Doshavaishamyam,UDANAVRUTAVYANAVATAH,"stiffness, insufficient digestive power/capacity, anhidrosis/lack of sweating, loss of activities/motor function, having the eyes closed"
Doshavaishamyam,PITTAVRUTAVATAH,"burning sensation, thirst, sharp pain, giddiness or dizziness, blackouts, burning sensation due to pungent, sour, salty and hot, desire of cold"
Doshavaishamyam,KAPAVRUTAVATAH,"coldness, heaviness, sharp pain, alleviation due to kaṭu rasa (pungent), desire of fasting, desire of physical exertion, desire of rough, dry, desire of hotness/warmth"
Doshavaishamyam,PITTAVRUTAPRANAVATAH,"syncope/attacks of swooning, burning sensation, giddiness or dizziness, sharp pain, internal burning sensation, desire of cold, vomitus of undigested food"
Doshavaishamyam,KAPAVRUTAPRANAVATAH,"drowsiness/lassitude, exhaustion or tirednes of body, tastelessness, vomiting, spitting/excess expectoration, sneezing, eructation, obstructed/restriction to respiration"
Doshavaishamyam,PITTAVRUTA-UDANAVATAH,"exhaustion without exertion, burning sensation, giddiness or dizziness, syncope/attacks of swooning, giddiness or dizziness, sharp pain, burning sensation/indigestion, desire of cold, vomiting of indigested food, burning sensation at umbilical region and chest, exhaustion without exertion, loss or decline of vitality, energy, power"
Doshavaishamyam,KAPAVRUTA-UDANAVATAH,"discolouration, difficulty in speech, obstructed voice, weakness, tastelessness, heaviness of limbs, loss of lustre, loss of strength"
Doshavaishamyam,PITTAVRUTA-SAMANAVATAH,"excessive sweating, thirst, burning sensation, tastelessness, syncope/attacks of swooning, diminution of agni, distress/dicontent/restlessness"
Doshavaishamyam,KAPAVRUTASAMANAVATAH,"anhidrosis/lack of sweating, diminution of digestive power, horripilation, excessive coldness of body parts"
Doshavaishamyam,PITTAVRUTAVYANAVATAH,"burning sensation in all body, exhaustion without exertion, convulsions/ supression of body movements, burning sensation, pain, lack of body movements"
Doshavaishamyam,KAPAVRUTAVYANAVATAH,"heaviness of all body parts, pain in all joints, pain in all bones, excessive supression of body movements"
Doshavaishamyam,PITTAVRUTA-APANAVATAH,"yellowish discoluration of urine, excess yellow tint to stool, burning sensation in anus, burning sensation in penis, excessive mentstrual flow, feces having turmeric/yellow colour, pain in yōni (vagina), burning sensation in female genitals, pain in anal region, breaking pain in penis"
Doshavaishamyam,KAPAVRUTA-APANAVATAH,"passage of unformed (loose) feces, passage of unformed (undigested) feces, passage of feces with mucus, defecation of bulky/heavy stools, urine with mucus, passage of urine with mucus"
Doshavaishamyam,RAKTAVRUTAVATAH,"burning sensation, pain, swelling in between tvak and māṁsa, redness/congestion, burning and pain between skin and māṁsa, reddish swelling (inflammation), reddish circular patches"
Doshavaishamyam,MAMSAVRUTAVATAH,"hard eruptions/papule, discoloured eruptions, swelling, horripilation, feeling as if ants are crawling over the body/formiculation, discolouration, hard swelling"
Doshavaishamyam,MEDASAVRUTAVATAH,"fluctuating nature of swelling, swelling with unctuous nature/shiny swelling, swelling soft on touch, swelling cold on touch, tastelessness"
Doshavaishamyam,ASTHYAVRUTAVATAH,"hot on touch/feel, desire for getting pressure, bending, exhaustion, needle pricking type of pain, sharp pain in body"
Doshavaishamyam,MAJJAVRUTAVATAH,"bending of the body due to pain, yawning, feels as if wrapped up, sharp pain, feels better when pressed with hands"
Doshavaishamyam,SUKRAVRUTAVATAH,"speedy ejaculation of semen, exessive ejaculation of semen, sterility"
Doshavaishamyam,SARVADHATVAVRUTAVATAH,"pain in pelvis, pain in groins, pain in back, vayu moves in wrong direction and causes illhealth, severe pain in the heart"
Doshavaishamyam,MALAVRUTAVATAH,"severe constipation, cutting type of pain in its own abode i.e. rectum/pakvāśaya, instantaneous digestion of the ingested unctuous food, abdominal distention on consumption of food, painful defecation of dry feces, pain in pelvis, pain in groins, pain in back, vayu having opposite /upward direction, discomfort in the cardiac region/heart"
Doshavaishamyam,MUTRAVRUTAVATAH,"unable to void urine/anuria, abdominal distension"
Doshavaishamyam,VARCASAVRUTAVATAH,"severe constipation, cutting type of pain in svasthana i.e. rectum/pakvāśaya, instantaneous digestion of the ingested fat, abdominal distention on consumption of food, due to pressure of the undigested food, the patient voids after along time. the voiding is painfull and the stool is dry, pain in the hips, groin, and back, upward movement of vāyu (flatus or gas) in the abdomen, discomfort in the cardiac region/heart"
Doshavaishamyam,ANNAVRUTAVATAH,"pain in flanks on eating, pain relieves after digestion of food"
Doshavaishamyam,KOSHTHASRITAVATAKOPAH,"hemorrhoids, palpable glandular enlargment in abdomen/abdominal lump, pain in sides of chest/flanks, inguinal swelling/herniation, retention of urine, retention of faeces, diseases of heart"
