medicines,Disease,symptoms
,KAPAJA-MUTRAUKASADAH,"slimy, concentrated, difficult urination, passed with difficulty, urine becomes pale white like conchshell powder after drying up"
,MUTRAJATHARAH,"abdomen enlarged due to filled bladder, pain due to fullness of abdomen, indigestion, obstruction/retention in passage of urine, fecal retention, abdominal distension below the umbilicus, severe pain below umbilicus, obstruction to channels of urine, faeces etc (lower channels of the body), bladder outlet obstruction"
,MUTROTSANGAH,"urine obstruction at bulb of penis, later painless micturition, later painful micturition, split stream urination, heaviness in penis, urine remains in bladder, urine remains in penile urethra, urine remains in bulb of penile urethra, urine with blood, straining to urinate, on straining dribles slowly in small quantities, scanty, drop by drop urination"
,MUTRAKSHAYAH/MUTRASAMKSHAYAH,"having the symptoms of vātavr̥ddhiḥ, dryness of body, fatigue, diminution of urine quantity, with pain, burning sensation, dysuria"
,MUTRATITAH,"hesitancy in micturition, weak urine flow, difficulty in passing urine/anuria, urine is passed occassionaly, mild pain during micturition, scanty micturition, increased frequency of micturition, difficulty in passing urine"
,VATASHTHILA,"bloating of basti (urinary bladder), distension in the rectum, obstructed flatus, mobile, elevated, severe pain, obstruction in passage of urine, obstruct the passage of faeces, in between bladder and rectum, stony hard round shaped gland, abdominal distension, pain in the region around basti"
,VATABASTIH,"obstruction/retention in passage of urine, pain, itching, pain in the abdomen/flanks, pain in the basti (urinary bladder)"
,USHNAVATAH/USHNAMARUTAH,"diminution of urine quantity, difficulty in micturition, pain, burning sensation, reddish urine, yellowish urine, burning sensation in the basti (urinary bladder), burning sensation in the penile region, burning sensation in anus, yellowish discoluration of urine, haematuria, urine consist of frank blood, passes urine with difficulty, passes urine again and again/frequent micturition"
,VATAKUNDALIKA,"heaviness in the body, feeling as if wrapped/cramps, severe pain, obstruction/retention in passage of urine, fecal retention, feels rigidity, scanty micturition, passes urine with pain, spiralling of urine within basti (urinary bladder), passage of urine with pain during defecation"
,MUTRAGRANTHIH/RAKTAGRANTHIH,"glandular swelling at the opening of basti (urinary bladder), difficulty in passing urine, pain like that of aśmarī, round shaped glandular swelling, small swelling, fixed swelling, severe pain, usually obstructing urine flow/at the neck of bladder, sudden manifestation, clinical features of ashmari"
,MUTRASUKRAH,"urine mixed with semen, sudden manifestation, , discharge of fluid resembling ash water"
,VID-VIGHATAH,"passes urine of faecal odour, difficult micturition"
,BASTIKUNDALAH,"colicky pain in the abdomen, pulsating sensation, burning sensation, passes urine drop by drop, feels rigidity, cramp like pain, pain, passess urine after pressing below umbilicus"
,PAITTIKA-BASTIKUNDALAH,"burning sensation, colicky pain in the abdomen, dis colouration of urine"
,KAPAJABASTIKUNDALAH,"heaviness, odema, unctuous urine, urine becomes dense, urine becomes white"
,ASADHYA BASTIKUNDALIKA,"feeling as if basti becomes round shaped, stupefaction, breathlessness/difficult breathing"
,VATAJAMUTRAKRUCCRAM,"pain in the inguinal region, pain in basti (urinary bladder) region, severe penile pain, scanty micturition, frequent micturition, severe pain in scrotum, severe penile pain, pain in basti (urinary bladder), passes urine with difficulty"
,PITTAJAMUTRAKRUCCRAM,"passes yellow urine, passes urine with blood, passes urine with pain, passes urine with burning sensation, difficulty in passing urine, frequent micturition, yellowish discoluration of urine, urine with increased hotness, urine having colour of blood/hematuria, burning pain as if burnt in scrotum, burning pain as if burnt in penis, burning pain as if burnt in bladder"
,KAPAJAMUTRAKRUCCRAM,"heaviness in the basti (urinary bladder), swelling in the basti (urinary bladder), slimy urine, heaviness in penis, oedema in penis, retention of urine, unctuous urine, whitish coloured urine, urine not too hot, horripilation, heaviness in scrotum"
,SANNIPATAMUTRAKRUCCRAM,"clinical features of all types of dōṣa, burning sensation, feeling of cold/chills, pain, urine of different colours, frequent micturition, distressed, difficulty in micturition"
,PURISHARODHAJAMUTRAKRUCCRAM,"abdominal distension, pain due to vāta, obstruction/retention in passage of urine"
,SARKARAJAMUTRAKRUCCRAM,"precordial pain/cardiac pain, shivering/tremors, colicky pain in the abdomen, diminution of agni, syncope/attacks of swooning, severe disuria, when the gravel are passed with the flow of urine, pain subsides"
,SONITAJAMUTRAKRUCCRAM/RAKTAJAMUTRAKRUCCRAM,"obstruction, excruciating pain, abdominal distention, heaviness in basti/urinary bladder, when the calculus passes out the patient feels lightness in the region of urinary bladder"
,SALYAJAMUTRAKRUCCRAM,"severe pain, clinical features simillar to vātika dysuria, clinical features similar to vatabasti"
,SUKRAJANYAMUTRAKRUCCRAM,"difficulty in passing urine, stiffness of scrotum, penile pain, pain in the vesical region"
,TRUSHNA,"incessant desire for water, "
,TRUSHNA-PURVARUPAM,"dryness of mouth, excessive dryness of palate, excessive dryness of lips, excessive dryness of throat, excessive dryness of oral cavity, burning sensation over oral cavity, palate etc, burning sensation, confusion/delirium, giddiness or dizziness, iexcessive and incoherent speech"
,VATAJA-TRUSHNA,"dryness of the mouth, tastelessness in the mouth, pain in temporal region, headache, exacerrbation on drinking of cold water, feeling of obstruction of the passages, insomnia, vertigo, dryness of mouth, wasted/dried up/emaciated, apathy, inability to smell, distaste of mouth, diminished hearing ability, diminished sleep, diminished strength"
,PITTAJA-TRUSHNA,"aversion to food, burning sensation, bitter taste in the mouth, burning sensation in head, desire for cold, syncope/attacks of swooning, yellowish colour of eye, yellowish urine, yellow coloured stool, excess talking/irrelevant speech/incoherent speech, tastelessness, dryness of mouth, fumigating sensation/whole body burning sensation, parched mouth, feeling of fumes coming from body and mouth, blood shot eyes"
,KAPAJA-TRUSHNA,"heaviness of body, suffering from excessive thirst, sleep, sweet taste in the mouth, excessive dehydration, feeling of coating over throat, slimy and sticky feeling inside mouth, fever with chills, vomiting, tastelessness, heaviness of body, edema over extremities, body orifices feel as if coated with slush and then dried, body orifices gets dried with kapha, feeling as if throat is coverened by thorns, abdominal distension, heainess of head, a sensation of being covered with wet clothes, lethargy, indigestion"
,KSHATAJA-TRUSHNA,thirst not relieved despite of frequent drinking water day and night
,RASAKSHAYAJA-TRUSHNA,"drying up, burning sensation, excessive desire for water"
,AMAJA-TRUSHNA,"abdominal distension, tastelessness, mucus discharge through mouth, spitting, exhaustion or tirednes of body, pain in cardiac region"
,AUPASARGIKA-TRUSHNA,"timid or apathy, timid voice, loss of conciousness, dehydrated throat, dehydrated palate, dehydrated mouth"
,BAKTAJA-TRUSHNA,"thirst produced by sour diet, thirst produced by heavy diet, thirst produced by salty diet, thirst produced by oily diet"
,ASADHYA-TRUSHNA,"emaciated/thin /malnourished, mentally confused, deafness/hearing impairment, whose tongue is protruded, severe thirst"
,SVAYATHUH/SOTHAH/SOPAH,"feeling of heaviness, not stable, inconsistent/shifting nature, swelling, warmth, prominence of vessels, horripilation, dis colouration, swelling inbetween tvak (skin) and māṁsa (muscle)"
,SOPA-PURVARUPAM,"warmth, burning sensation, dilatation of the vessels, heaviness in body"
,VATAJASOPAH,"migratory oedema/shifting in nature, shiny, thin skin, rough/dry skin, slightly reddish swelling, blackish oedema, numbness, hyperesthesia, painful, subsides on its own, pitting on pressure refills quickly, oedema gets increased in day time, soft oedema, shifting pain, various types of pain like pricking sensation etc, dry oedema, rough hairs, contraction, pulsatile, quick increase and decrease, relieves with snigdha treatment, relieves with hot treatment, relieves with massage, less swelling at night, irritation of skin (as if smeared with mustard paste)"
,PITTAJASOPAH,"soft oedema, having odour, blackish oedema, yellowish oedema, oedema with redness, giddiness or dizziness, fever, sweating, thirst, intoxication, hotness, tenderness/on touch pain, redness in the eyes, severe inflammation, yellow-reddish oedema, quick in spreading/quick remission, symptoms such as burning sensation with sweating and restlessness, coppery hairs, occurs first in middle part of the body, severe burning sensation, heat/fever, moistening /soddening, desire for cold, altered feces/loose motions, tenderness/inability to tolerate touch"
,KAPAJASOPAH,"oedema of large size, firm oedema, whitish in colour, tastelessness, excessive salivation, sleep, vomiting, diminution of agni, prolonged onset and subsides with difficulty, pitting on pressure does not fill rapidly, more prominent during the nights, itching, whitish hairs, hard oedema, cold in nature, oily apperance, soft oedema, thick/dense swelling, no bleeding on incision, oozing of serous fluid for long time from incision, desire for touch at site, desire for hot, slow spreading"
,RAKTAJASOPA,"clinical featues as of pittaja type, yellowish oedema, dark black coloured, soft oedema, quick spreading, symptoms such as burning sensation with sweating and restlessness"
,SANNIPATAJASOPAH,"various colours and various type of pain, "
,ABIGHATAJASOPAH-KSHATAJASOPAH,"severe hot, reddish coloured/blood filled, generally clinical features of pittaja type, soft oedema, having odour, blackish oedema, yellowish oedema, oedema with redness, quick spreading/quick remission, symptoms such as burning sensation with sweating and restlessness, coppery hairs, occurs first in middle part of the body, severe burning sensation"
,VISHAJASOPAH,"oedema in the dependent parts, migratory oedema/shifting in nature, burning sensation, soft oedema, painful, oedema develops rapidly"
,AMASOPAH,"less swelling, induration, normal skin colouration, mild pain, hypothermia/mild warmth, cold-swelling, stable oedema"
,PACYAMANASOPAH,"pain as if pricked with needle, pain as if stung by ants, feeling as if ants are moving on surface, pain as if cut by knife, pain as if incised forcefully, as if beaten with a stick, as if pressed in by the hands, as if being ground by the fingers, as if burnt by fire, as if burnt/cooked by fire, as if burnt by caustic/kṣāra, as if ripened by kṣāra, burning sensation, sucking type of pain, severe burning sensation, pain as scorpion bite, no relief in any position viz. sitting, sleeping etc., gets tense like a distended bladder, skin discolouration, increase in oedema, fever, burning sensation, thirst, aversion to food"
,PAKVASOPAH,"appearance of wrinkles, pallor, mild swelling, cracking of skin, finger pressure creates pitting and gets filled, if one end of swelling is pressed, pus moves like water in full bladder, frequent pain, itching, elevated odema, relief in complications/distessing features, desire for food"
,ASADHYA-SOPAH,"breathlessness/difficult breathing, thirst, vomiting, weakness, fever, aversion to food, oedema started from legs in male, oedema started from face in female, oedema started from genitals, oedema in abdomen/flanks, oedema in abdomen, oedema in throat/neck, oedema situtated in marma/vital points, rough oedema, hard oedema"
,UDARA/UDARAROGAH,"exhaustion or tirednes to body /inability to perform physical activities, distension of abdomen, inability to walk, drowsiness/lassitude, burning sensation, diminution of agni, sluggish passage of faeces, weakness, retention of vAyu/flatus, oedema, gurgling sound of the intestines/barborygmus, pedal oedema, oedema in hands, diminution of agni, shiny and glossy cheeks, dryness of palate, dryness of lips, inability to do physical work, loss of strength, inability to take/digest food, emaciated/thin /malnourished, swollen abdomen, person appear like dead body, inability to walk"
,UDARA-PURVARUPAM,"internal burning sensation, loss of appetite, delayed digestion on intake of sweet food, delayed digestion of fatty food, delayed digestion of heavy food, onset of acidity after intake of food, inability to judge whether food is digested or not, inability to tolerate excess food, mild swelling of legs/feet, loss of strength, onset of breathing difficulty on little exertion, accumulation of faeces, pain in bastisandhi, distention in bastisandhi, splitting in the region of basti sandhi, distension of abdomen even after light food, distension of abdomen after intake of small quantity of food, appearance of striae in abdomen, loss of skin striae/wrinkles-tightening of skin, desire for acquiring physical strength, desire for complexion, pain in basti/urinary bladder region, loss of strength, accumulation of faeces, retention of feces/constipation"
,VATAJA-UDARAROGAH,"oedema in abdomen, oedema in hands, oedema in legs, cracking of abdominal skin, fluctuating abdominal oedema, pain in abdomen, pain in sides of chest/flanks, upward movement of vāta, generalized bodyache, breaking type of pain in small joints, dry cough, emaciation, weakness, tastelessness, indigestion, heaviness in lower abdomen, supression of flatus, obstruction to elimination of urine, retention of feces/constipation, blackish nails, blackish eyes, blackish face, blackish urine, blackish skin, blackish feces, slightly reddish nails, slightly reddish eyes, slightly reddish face, slightly reddish urine, slightly reddish skin, slightly reddish feces, thin veins spread across the abdomen, blackish veins spread across the abdomen, on percussion makes a sound like distended leather bag, upward movement of vayu with pain, downward movement of vayu with pain, random movement of vAyu with pain, upward movement of vayu with sound, downward movement of vayu with sound, random movement of vAyu with sound, scrotal oedema, pain in abdomen, low backpain, backpain, pricking type of pain in abdomen, breaking type of pain in abdomen, in side of chests/flanks, in abdomen, in back, in umbilical region, blackish veins spread on distended abdomen, painful and with sound motion of vāyu in abdomen"
,PITTAJA-UDARAROGAH,"burning sensation, fever, thirst, syncope/attacks of swooning, diarrhoea, giddiness or dizziness, pungent taste in mouth, greenish colouration of nails, greenish eyes, greenish discolouration of face, greenish colouration of urine, greenish discolouration of skin, greenish discolouration of faeces, yellowish discoloration of nails, yellowish discoloration of eyes, yellowish discoloration of face, yellowish discoloration of urine, yellowish discoloration of skin, yellowish discoloration of faeces, bluish veins spread on abdomen, yellowish veins spread on abdomen, turmeric coloured veins spread on abdomen, greenish veins spread on abdomen, coppery coloured veins spread on abdomen, burning sensation over abdomen, smoky sensation in abdomen, pain in abdomen, burning sensation in abdomen, feels like fomentation of abdomen, wetness of abdomen, soft touch, quickly leading to jalōdara (ascites), sucking type of pain, associated with thirst, associated with fever, associated with burning sensation, quick increasing in size, pungent taste in mouth"
,KAPAJA-UDARAROGAH,"numbness, heaviness, tastelessness, indigestion, generalized bodyache, odema/swelling in hands, odema/swelling in legs, scrotal oedema, swelling in thighs, nausea/provocation of dōṣa, sleep, breathlessness/difficult breathing, cough, white discoloration of nails, white discoloration of eyes, white discoloration of body, white discoloration of urine, white discoloration of skin, white discoloration of faeces, whitish coloured veins spread across the abdomen, abdominal area will be cold to tough, heaviness of abdomen, steady swelling, unctuous in nature, huge swelling, with body pain, increases over a long period of time, generalized odema, feel as if wrapped with wet cloth, smooth on touch, huge swelling, hard swelling"
,SANNIPATAJA-UDARAROGAH,"nails of all colours, eyes of all colours, all colours appear on face, urine of all colours, skin of all colours, feces of all colours, linings spread on abdomen of different colours, veins spread on abdomen of different colours, aggravation of featurs on cold and windy days, aggravation of featurs on cloudy days, burning sensation, constant syncope/fainting, pallor/pale, emaciated/thin /malnourished, dry due to thirst, severe form of disease, dreadful, quickly leading to jalodara/ascites"
,YAKRUDDALYUDARAH,"liver enlargement in right flank as speen in left, initially liver hard as aśṭhīlā (iron ball), when increased, it resembles elevated tortoise back on palpation, when left untreated, spreads towards pancreas and stomach, weakness, tastelessness, indigestion, supression of faeces, supression of urine, feels as entering into darkness, thirst, generalized bodyache, vomiting, syncope/attacks of swooning, exhaustion or tirednes to body /inability to perform physical activities, cough, breathlessness/difficult breathing, mild fever, barborygmus with distention, loss of agni (digestive power), emaciation, distaste of mouth, breaking type of pain in small joints, abdomen filled with vāyu, colicky pain in the abdomen, reddening of the abdomen, discoloration, abdomen spread by bluish striae, abdomen spread by greenish striae, abdomen spread by yellowish striae, (liver) enlargment in right flank, growing out from its site, reddening of the abdomen, abdominal distension, pallor/severe pallor, indigestion, confusion/delirium, diminished strength"
,BADDHAGUDODARAH,"thirst, burning sensation, fever, dryness of mouth, dryness of palate, fatigue in thighs, cough, breathlessness/difficult breathing, weakness, tastelessness, indigestion, supression of feces, obstruction to elimination of urine, abdominal distension, vomiting, sneezing, headache, precordial pain/cardiac pain, pain in the umbilical region, anal pain, obstructed flatus, rigid abdomen, reddening of abdomen, abdomen spread by bluish striae, abdomen spread by bluish veins, no striae, cow tail protrusion of umbilicus, impacted stools in rectum/anus, passes scanty feces with difficulty, increased abdominal swelling between heart and umbilicus i.e. epigastric region, fecal odour of abdomen"
,CIDRODARAH/KSHATODARAM,"increased abdominal swelling below umbilicus, passing of blackish stools, passing of bluish stools, passing of yellowish stools, passing of slimy stools, passing of stools having smell of dead body, passing of unformed /stools with ama, hiccup, breathlessness/difficult breathing, cough, thirst, excessive urination, tastelessness, indigestion, weakness, watery discharge from anus, severe needling type of pain, indigestion, frequent scanty stool coloured discharge from anus, giddiness or dizziness, tearing"
,JALODARAH,"disinclination for food, thirst, per rectal discharge, colicky pain, breathlessness/difficult breathing, cough, weakness, abdomen spread by veins of various colours, abdomen spread by striae of various colours, vibrates just as a leather bag containing water, fluctuates just as a leather bag containing water, everted umblicus, unctuous in nature, big abdomen, severe elevated abdomen, as if full of water, fluctuates just as a leather bag containing water, vibrates just as a leather bag containing water, produces sounds just as a leather bag containing water, thirst"
,AJATODAKAH,"slightly reddish swelling, abdomen not heavy, covered with network of vessels, constant intestinal sounds, stiffness/steady umbilicus, forceful passage of feces, precordial pain/cardiac pain, pain in the umbilical region, pain in groins, low backpain, forceful passage of flatus, no diminution of agni, greediness, distaste of mouth, less urine output, compact stools"
,PICCAVASTHA,"round shaped abdomen, heavy, feels as if wrapped with wet cloth, on percussion no sound, soft touch, devoid of raji (striae), apperance of striae starting from umbilicus"
,JATODAKA AVASTHA,"increase girth of abdomen, disappearance of veins, appearance of veins, fluctuates just as a leather bag containing water, vibrates just as a leather bag containing water"
,ASADHYA-UDARAH,"swollen eyes, curved penis, sticky and thin skin, diminished strength, diminished blood, diminished muscle bulk, diminished agni, sticky and thin skin, abdomen with fluid, suppuration in abdomen, breaking type of pain in sides of chest/flanks, aversion to food, oedema, diarrhoea, apperance of fluid even after tapping, fatal in fifteen days"
,UDARA-UPADRAVAH,"vomiting, diarrhoea, tamaka type of asthma, thirst, breathlessness/difficult breathing, cough, hiccup, weakness, pain in sides of chest/flanks, tastelessness, hoarseness of voice, obstruction/retention in passage of urine"
,VATAJA-YONIROGAH,"pricking pain in yoni, associated with pain, roughness of yoni genital organ, stiffness of yoni (vagina) genital organ, feeling as if ants are crawling over the body/formiculation, numbness, exertion, menstrual flow with sound, menstrual flow with pain, frothy menstruation, dry menstruation, roughness of yoni genital organ, stiffness of yoni genital organ, pain, pricking type of pain, tinnitus, slightly reddish brown menstrul flow, blackish mensstrual flow, scanty menstrual flow, thin menstural flow, feeling as if prolapse of pelvis, pelvic pain, feeling of prolapse of sides of chest/flanks, pain in sides of chest/flanks, leading to gulma, diseases as per dōṣa"
,PITTAJA-YONIROGAH,"burning sensation in yoni (genital organ), inflammation/suppuration of yoni genital organ, fever, heating sensation, menstrual discharge becoms blue, yellow or black in colour, yellowish discharge, whitish discharge, very hot dishcarge, , discharge is in large quantity, hot and having offensive smell, burning in yoni genital organ, putrid smell in yoni, hot menstrual flow, heavy menstrual flow, having smell of dead body"
,KAPAJA-YONIROGAH,"slimeness in vaginal canal, coldness of vagina, itching in the vagina, mild pain, pale coloured vaginal discharge, paleness of menstrual blood, slimy menstrual flow, no pain, discharge as per corresponding dōṣa"
,SANNIPATAJA-YONIROGAH,"mixed features, burning pain, colicy pain, whitish discharge, slimy menstrual flow, clinical features of all types of dōṣa, complications"
,ACARANA,"itching, excessive desire for sex with men, woman discharges earlier than male"
,ATYANANDA,non-satisfaction towards sexual intercourse
,ATICARANA,"swelling of yōni (vagina), pain in yōni (vagina), numbness, woman is not fertile, desires longer sexual intercourse"
,ANTARMUKHI,"distortion of mouth of the uterus, pain in the bones, pain in the muscles, excruciating pain, intolerable sexual act"
,ARAJASKA,"emaciation, severe discolouration"
,UDAVARTINI,"women afflicted with pain, painful menstruation with difficulty, immediately pain relief after the discharge of menstrual blood, frothy menstruation"
,UPAPLUTA/APLUTA,"pale menstrual discharge, painful menstruation, whitish discharge, genital tract pervaded with the morbidities caused by aggravated kapha, genital tract pervaded with the morbidities caused by aggravated vāta, slimy menstrual flow"
,JATAGHNI/PUTRAGHNI,"the product of conception is repeatedly aborted, bloody discharge, dryness of menstrual blood, vitiation of menstrual blood"
,LOHITAKSHAYA/LOHITAKSHARA,"loss of menstrual blood with burning, burning sensation, emaciation, discolouration"
,VIPLUTA,"infertile, absence of menstrual discharge, constant pain"
,KARNINI,"nodular swelling in genital organs, obstruction to passage of menstrual flow, unctuous menstrual flow"
,PARIPLUTA,"swelling of yōni (vagina), tenderness, pain, bluish discharge, yellowish discharge, pelvic pain, pain in groins, back pain, severe pain during coitus, heaviness in basti/urinary bladder, heaviness in abdomen, diarrhoea, tastelessness, pricking type of pain in pelvis, pricking type of pain in groins, fever"
,PRASRAMSINI/PRASRAVINI,"prolapse of uterus, straining of uterus, difficult labour"
,PRAKCARANA,"pain in back, low backpain, pain in thighs, pain in groins, pain in calf"
,PALINI/ANDALI,"infertile, prolapse of vaginal wall (due to forceful copulation with a person having large size penis)"
,MAHAYONIH/VIVRUTA,"dilated opening, severe pain, dry menstruation, frothy menstruation, hypertrophy of māṁsa, pain in small joints, pain in groin region, big and wide vagina, loose, relaxed yōni"
,RAKTAYONIROGAH/ASRUJA/APRAJA,"excess bleeding per vagina after conception, excess bleeding per vagina, bleeding per vagina even after preanancy"
,VAMINI,"expulsion of semen on sixth or seventh day, expulsion of semen with vāyu, expulsion of semen alongwith raja, "
,SUSHKA,"obstruction to the passage of stool, obstruction/retention in passage of urine, pain, dryness of the opening of the vagina, severe pain"
,VANDHYA,absence of menstrual discharge
,SHANDHI/KHANDITA,"aversion to males, absence of breasts, amenorrhoea, roughness of yoni during coitus, incurable"
,SUCIMUKHI/SUCIVAKTRA,"maternal(genetic defect), minute opening of yōni, constricted vagina"
,YONIKANDAH,"a tuberous swelling resembling pus, a tuberous swelling with blood, a tuberous swelling resembles a nikuca fruit"
,VATIKA-YONIKANDAH,"dry swelling in genital organ, discolored swelling in genital organ, cracked swelling in genital organ"
,PAITTIKA-YONIKANDAH,"tuberous swelling with burning sensation ~a redness in genital organ, swelling in genital organs associated with fever, vaginal sprouts with redness"
,KAPAJA-YONIKANDAH,"swelling appears like nila puṣpa, itching in genital part"
,SANNIPATAJAYONIKANDAH,"clinical features of all types of doshas in yōnikanda, "
,YONI-ARSAH,"itching, fleshy mass on internal side of penis, fleshy mass on external side of penis, slimy discharge, bleeding/haemorrhage, affliction of penis, impotence/loss of sexual vigor, umbrella shaped buds are produced, hypertrophy of māṁsa, delicated thorny projections, discharge with foul smell, unctuous discharging projections, sprouts with bleeding, afflicts yoni and cause infertility, loss of menstruation"
,VATAJA-ARTAVADUSHTIH,"characteristics of ārtava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, same symptoms as that of corresponding dōṣa, thin, dry, frothy, slightly red in colour, scanty, not uniform, painful menstruation, discharge slowly drop by drop"
,PITTAJA/ARTAVADUSHTIH,"characteristics of ārtava will be similar to corresponding dosha, characteristics of pain will be similar to corresponding dōṣa, same symptoms as that of corresponding dōṣa, slightly yellow, nonslimy, bluish discharge, menstrual dischage accompained with burning sensation"
,KAPAJA-ARTAVADUSHTIH,"characteristics of ārtava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, same symptoms as that of corresponding dōṣa, menstrual blood resembles bone-marrow, large in quantity, thick in consistency, slightly sinks in water, slightly submerged"
,KUNAPAGANDHI-ARTAVADUSHTIH,"characteristics of artava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, menstrual blood posses cadaveric smell, large in quantity"
,GRANTHIBUTA-ARTAVADUSHTIH,"characteristics of ārtava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, menstrual flow with clots"
,PUTIPUYA-ARTAVADUSHTIH,"characteristics of ārtava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, menstrual flow having putrid odour, resembling pus"
,KSHINA-ARTAVADUSHTIH,"characteristics of artava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, low menstrual flow"
,MUTRAPURISHAGANDHA-ARTAVADUSHTIH,"characteristics of artava will be similar to corresponding dōṣa, characteristics of pain will be similar to corresponding dōṣa, menstrual blood posses odour of urine, menstrual blood posses odour of faeces"
,ASRUGDARAH/RAKTAPRADARAH,"quantitative vitiation of blood, generalised bodyache, pain, weakness, giddiness or dizziness, syncope/attacks of swooning, blackouts, thirst, burning sensation, excess talking/irrelevant speech/incoherent speech, pallor, drowsiness/lassitude, diseases of vata, intoxication"
,VATIKA-ASRUGDARAH,"painful frothy, painful scanty, painful dry, painful blackish, painful reddish brown, painful reddish as palasha flower water, frothy but without pain, scanty but without pain, dry butwithout pain, blackish and without pain, reddish brown and without pain, reddish as palasha flower water without pain, severe back pain, severe groin pain, pain in cardiac region, pain in sides of chest/flanks, pain in back, severe pain in pelvis, scanty menstrual flow, discharge associated with vāta types of pain, discharge resembling meat washing water"
,PAITTIKA-ASRUGDARAH,"bluish discharge, yellowish discharge, warm discharge, blackish discharge, constant discharge, frequent bleeding, painful, burning sensation, reddish bleeding, thirst, confusion/delirium, fever, giddiness or dizziness, red, repeated flows out with force"
,SLAISHMIKA-ASRUGDARAH,"slimy, pale coloured, heavy menstrual flow, unctuous, cold in nature, thick in consistancy, mild pain, vomiting, tastelessness, nausea, breathlessness/difficult breathing, cough, discharge resembling undigested anna rasa, unctuous discharge resembling extract of śālmali, discharge resembling rice water"
,SANNIPATIKA-ASRUGDARAH (RAKTAPRADARAH),"symptoms of all the three doshas, honey colour like discharge, ghr̥ta like discharge, haritala colour like discharge, bone-marrow like discharge, menstrual blood posses cadaveric smell"
,ASADHYA-ASRUGDARAH,"foul smelling bleeding, slimy bleeding, yellowish discharge, hot menstrual flow, ghr̥ta like discharge, bone-marrow like discharge, blood discharge mixed with vasa/fat, thirst, burning sensation, fever, loss of blood(anaemic), loss of physical strength or weakness, frequent menstruation, when the discharge is continuous"
,SOMAROGAH/SVETAPRADARAH,"cleary discharge, without turbidity, cool discharge, odourless discharge, painless discharge, white discharge, exessive discharge, loss of physical strength or weakness, cant able to control urge, occasionally feels better, slackened head, dried mouth, dryness in palate, syncope/attacks of swooning, yawning, excess talking/irrelevant speech/incoherent speech, dry skin, does not attain satisfaction even after consuming any type of food, does not get satisfaction with food, does not attain satisfaction even after consuming any type of liquid"
,KIKKISA-GARBINIROGAH,"burning sensation, itching"
,GARBASRAVAH,"foetal expulsion till the fourth month, "
,GARBAPATAH,"foetal expulsion in fifth month of pregnancy, foetal expulsion in sixth month of pregnancy"
,UPAVISHTAKAH,"absence of foetal growth but retained in womb, foeatus resides in womb and produses thrombings, no enlargement of the abdomen, , occasional per vaginal little bleeding"
,NAGODARAH/UPASUSHKA,"the foetus does not grow, wasting of/emaciation, such a foetus remains in the womb of the mother for a long period, there is no quickening of the foetus, abdominal distention, occasionally remains dormant, emaciated/thin /malnourished foetus, dry fetus, discharge per month not too less, discharge every day not too less, delayed pulsation in fetus, occasional pulsations in fetus, decrease in abdominal girth"
,LINAGARBAH,"foetus remains inactive in uterus, complication due to postmaturity in foetus, sluggish activity, foetus emaciating , disappearing ,dissolving not having throbbings"
,MRUTAGARBAH,"feel as if abdomen wrapped with wet cloth, stiff abdomen, stretched, cold on touch, fetus as stony hard, absence of foetal movements, severe pain, no labour pain, no discharge from yōni, sluggish eyes, distressed, distress, giddiness or dizziness, breathlessness/difficult breathing, distress/dicontent/restlessness, improper manifestation of natural urges, stoppage of labour pain, blackishness or cyanosis, pallor, foetid smell in the breath, colicky pain in the abdomen, inflated abdomen, thirst, difficulty in breathing, exhaustion without exertion, cries all through ady and night, sleeplessness, difficulty in eating"
,MUDHAGARBAH,"irritation in abdomen, pain in sides of chest/flanks, pain in basti/urinary bladder, pain in head, pain in abdomen, pain in yōni (vagina), barborygmus with distention, obstruction/retention in passage of urine, abortion of young foetus, discharge of blood, ocassional enlargement of foetus, abnormal foetal presentation, enters into lower abdomen, afflicted with impaired apāna vāyu"
,KILAKAH,"foetal malpresentation, presented as nail at the mouth of yōni (vagina)"
,PRATIKHURAH,"visible palms and feet, body is obstructed, looks like horse hoof"
,BIJAKAH,"head and single hand comes out, "
,PARIGHAH,"foetus lies transversely and obstruct the passage, "
,ASADHYA-MUDHAGARBAH,"last two foetal presentations are incurable, women with abnormal sensary perception, convulsion, vaginal prolapse, contraction of vagina, puerperal sepsis, breathlessness/difficult breathing, cough, giddiness or dizziness, descending of head, cold extremeties, lack of lajja/modesty?, bluish veins, putrid eructation, descending of head"
,MUDHAGARBA-UPADRAVAH,"retention of sac, retention of placenta, puerperal sepsis, constriction of vaginal orifice, gripping in flanks"
,SUTIKAROGAH,"generalised bodyache, fever, tremors, thirst, heaviness of the body, swelling of the body, colicky pain in the abdomen, diarrhoea"
